id;session;query;annotation;query_state
22;yahoo-8;yahoo mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";IS
23;yahoo-9;google.com;"[[\http://dbpedia.org/resource/Google\""]]""";IS
24;yahoo-13;lark voorhies;"[[\http://dbpedia.org/resource/Lark_Voorhies\""]]""";IS
25;yahoo-13;presidential polls;"[[\http://dbpedia.org/resource/Nationwide_opinion_polling_for_the_United_States_presidential_election_2012\""]]""";NW
26;yahoo-13;yahoo! dating;"[[\http://dbpedia.org/resource/Yahoo!\""] [\""http://dbpedia.org/resource/Online_dating_service\""]]""";NW
27;yahoo-13;yahoo! profile;"[[\http://dbpedia.org/resource/User_profile\""]]""";WS
28;yahoo-13;presidents;"[[\http://dbpedia.org/resource/List_of_Presidents_of_the_United_States\""]]""";NW
29;yahoo-13;presidents day 2012;"[[\http://dbpedia.org/resource/Washington's_Birthday\""] [\""http://dbpedia.org/resource/2012\""]]""";SC
30;yahoo-13;presidents email;"[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/Email_address\""]]""";WS
31;yahoo-13;presidents elected;"[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/United_States_presidential_election\""]]""";WS
32;yahoo-13;presidents elected without popular vote;"[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/United_States_presidential_election\""] [\""http://dbpedia.org/resource/United_States_presidential_election\""]]""";SC
33;yahoo-13;facebook log;"[[\http://dbpedia.org/resource/Facebook\""] [\""http://dbpedia.org/resource/Login\""]]""";NW
34;yahoo-13;nesquik recall;"[[\http://dbpedia.org/resource/Nesquik\""] [\""http://dbpedia.org/resource/Product_recall\""]]""";NW
35;yahoo-13;yahoo! mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";NW
36;yahoo-13;yahoo;"[[\http://dbpedia.org/resource/Yahoo!\""]]""";GE
37;yahoo-13;yahoo mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";SC
38;yahoo-13;yahoo mail india;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""] [\""http://dbpedia.org/resource/India\""]]""";SC
39;yahoo-13;yahoo mail plus;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";WS
40;yahoo-13;facebook log in;"[[\http://dbpedia.org/resource/Facebook\""] [\""http://dbpedia.org/resource/Login\""]]""";NW
41;yahoo-14;former mouseketeer dies;"[[\http://dbpedia.org/resource/The_Mickey_Mouse_Club\""] [\""http://dbpedia.org/resource/Death\""]]""";IS
42;yahoo-15;mimeo board;"[[\http://dbpedia.org/resource/Mimio\""""]]""";IS
43;yahoo-16;widows;"[[\http://dbpedia.org/resource/Windows_XP_editions\""]]""";IS
44;yahoo-16;windows xp;"[[\http://dbpedia.org/resource/Windows_XP_editions\""]]""";SC
45;yahoo-16;windows xp 8;"[[\http://dbpedia.org/resource/Windows_XP_editions\""]]""";SC
46;yahoo-17;cast of starship troopers 2;"[[\http://dbpedia.org/resource/Starship_Troopers_2:_Hero_of_the_Federation\""]]""";IS
47;yahoo-18;esther phillips music;"[[\http://dbpedia.org/resource/Esther_Phillips\""] [\""http://dbpedia.org/resource/Music\""]]""";IS
48;yahoo-18;facebook.com;"[[\http://dbpedia.org/resource/Facebook\""]]""";NW
49;yahoo-18;free fishing lures;"[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Fishing_lure\""]]""";NW
50;yahoo-18;free fishing lures samples;"[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Fishing_lure\""] [\""http://dbpedia.org/resource/Product_sample\""]]""";SC
51;yahoo-18;texas fishing license age;"[[\http://dbpedia.org/resource/Texas\""]]""";WS
52;yahoo-20;the big bang theory;"[[\http://dbpedia.org/resource/The_Big_Bang_Theory\""] [\""http://dbpedia.org/resource/Big_Bang\""]]";IS
53;yahoo-20;ditka suffers stroke;"[[\http://dbpedia.org/resource/Mike_Ditka\""] [\""http://dbpedia.org/resource/Suffering\""] [\""http://dbpedia.org/resource/Stroke\""]]""";NW
54;yahoo-20;country curtains;"[[\http://dbpedia.org/resource/Curtain\""]]""";NW
55;yahoo-20;jc penney curtains;"[[\http://dbpedia.org/resource/J._C._Penney\]  [\""http://dbpedia.org/resource/Curtain\""]]""";WS
56;yahoo-20;walmart.com;"[[\http://dbpedia.org/resource/Walmart\""]]""";RE
57;yahoo-20;canvas drop curtains;"[[\http://dbpedia.org/resource/Canvas\]  [\""http://dbpedia.org/resource/Curtain\""]]""";RE
58;yahoo-21;w.c.handy;"[[\http://dbpedia.org/resource/W._C._Handy\""]]""";IS
59;yahoo-21;town of williamstown vt;"[[\http://dbpedia.org/resource/Town\]  [\""http://dbpedia.org/resource/Williamstown_Vermont\""]  [\""http://dbpedia.org/resource/Vermont\]]""";NW
60;yahoo-21;pumpkin muffins recipe;"[[\http://dbpedia.org/resource/Pumpkin\""] [\""http://dbpedia.org/resource/Muffin\""] [\""http://dbpedia.org/resource/Recipe\""]]""";NW
61;yahoo-22;pandora;"[[\http://dbpedia.org/resource/Pandora_Radio\""]]""";IS
62;yahoo-22;currency converter;"[[\http://dbpedia.org/resource/Currency\""] [\""http://dbpedia.org/resource/Currency_converter\""]]""";NW
63;yahoo-24;kgrs;"[[\http://dbpedia.org/resource/KGRS\""]]""";IS
64;yahoo-24;scciowa;"[[\http://dbpedia.org/resource/Southeastern_Community_College_(Iowa)\""]]""";NW
65;yahoo-25;hunnington ingalls;"[[\http://dbpedia.org/resource/Huntington_Ingalls_Industries\""]]""";IS
66;yahoo-26;karl rove's bad night;"[[\http://dbpedia.org/resource/Karl_Rove\""]  [\""http://dbpedia.org/resource/Night\""]]""";IS
67;yahoo-26;winter storm athena;"[[\http://dbpedia.org/resource/November_2012_nor'easter\""]]""";NW
68;yahoo-27;toys r us;"[[\http://dbpedia.org/resource/Toys_""R""_Us]]""";IS
69;yahoo-27;new york state lottery;"[[\http://dbpedia.org/resource/New_York\""] [\""http://dbpedia.org/resource/New_York_Lottery\""] [\""http://dbpedia.org/resource/Lottery\""]]""";NW
70;yahoo-27;ny state lottery;"[[\http://dbpedia.org/resource/New_York_Lottery\""] [\""http://dbpedia.org/resource/New_York\""] [\""http://dbpedia.org/resource/New_York\""] [\""http://dbpedia.org/resource/Lottery\""]]""";RP
71;yahoo-29;head lice;"[[\http://dbpedia.org/resource/Head_louse\""]]""";IS
72;yahoo-29;bbt on line banking;"[[\http://dbpedia.org/resource/BB&T\""] [\""http://dbpedia.org/resource/Online_banking\""]]""";NW
73;yahoo-29;tea_tree_oil;"[[\http://dbpedia.org/resource/Tea_tree_oil\""]]""";NW
74;yahoo-29;tea tree oil shampoo;"[[\http://dbpedia.org/resource/Tea_tree_oil\""] [\""http://dbpedia.org/resource/Shampoo\""]]""";SC
75;yahoo-29;tea tree oil shampoo lice;"[[\http://dbpedia.org/resource/Tea_tree_oil\""] [\""http://dbpedia.org/resource/Shampoo\""] [\""http://dbpedia.org/resource/Head_louse\""]]""";SC
76;yahoo-29;youtube video;"[[\http://dbpedia.org/resource/YouTube\""]]""";NW
77;yahoo-30;gangnam style christmas lights;"[[\http://dbpedia.org/resource/Gangnam_Style\""] [\""http://dbpedia.org/resource/Christmas_lights\""]]""";IS
78;yahoo-32;ford fiesta 2002;"[[\http://dbpedia.org/resource/Ford_Motor_Company\""] [\""http://dbpedia.org/resource/Ford_Fiesta\""] [\""http://dbpedia.org/resource/2002\""]]""";IS
79;yahoo-33;north korea rocket launch;"[[\http://dbpedia.org/resource/North_Korea\""] [\""http://dbpedia.org/resource/Rocket_launch\""]]""";IS
80;yahoo-33;maria sharapova;"[[\http://dbpedia.org/resource/Maria_Sharapova\""]]""";NW
81;yahoo-35;amc breaking bad;"[[\http://dbpedia.org/resource/AMC_(TV_channel)\""] [\""http://dbpedia.org/resource/Breaking_Bad\""]]""";IS
82;yahoo-37;steve nash;"[[\http://dbpedia.org/resource/Steve_Nash\""]]""";IS
83;yahoo-37;george lucas money;"[[\http://dbpedia.org/resource/George_Lucas\""] [\""http://dbpedia.org/resource/Wealth\""]]""";NW
84;yahoo-37;twilight green day;"[[\http://dbpedia.org/resource/The_Twilight_Saga:_Breaking_Dawn_–_Part_2\""] [\""http://dbpedia.org/resource/Green_Day\""]]""";NW
85;yahoo-39;zig ziglar dies;"[[\http://dbpedia.org/resource/Zig_Ziglar\""] [\""http://dbpedia.org/resource/Death\""]]""";IS
86;yahoo-40;jpac;"[[\http://dbpedia.org/resource/Joint_POW/MIA_Accounting_Command\""]]""";IS
87;yahoo-42;www.jetairways.com;"[[\http://dbpedia.org/resource/Jet_Airways\""]]""";IS
88;yahoo-43;craigslist;"[[\http://dbpedia.org/resource/Craigslist\""]]""";IS
89;yahoo-43;craigslist dfw classifieds;"[[\http://dbpedia.org/resource/Craigslist\""] [\""http://dbpedia.org/resource/Dallas–Fort_Worth_metroplex\""] [\""http://dbpedia.org/resource/Classified_advertising\""]]""";SC
90;yahoo-43;yahoo! calendar;"[[\http://dbpedia.org/resource/Yahoo!_Calendar\""]]""";NW
91;yahoo-43;jim durham dies;"[[\http://dbpedia.org/resource/Jim_Durham\""] [\""http://dbpedia.org/resource/Death\""]]""";NW
92;yahoo-43;luxembourg wedding;"[[\http://dbpedia.org/resource/Luxembourg\""] [\""http://dbpedia.org/resource/Wedding\""]]""";NW
93;yahoo-43;yahoo! mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";NW
94;yahoo-44;lunette menstrual cup;"[[\http://dbpedia.org/resource/Menstrual_cup\""]]""";IS
95;yahoo-44;laxatives;"[[\http://dbpedia.org/resource/Laxative\""]]""";NW
96;yahoo-45;orbitz airline tickets expedia;"[[\http://dbpedia.org/resource/Orbitz\""] [\""http://dbpedia.org/resource/Airline_ticket\""] [\""http://dbpedia.org/resource/Expedia\""]]""";IS
97;yahoo-45;aarp travel discounts;"[[\http://dbpedia.org/resource/AARP\""] [\""http://dbpedia.org/resource/Travel\""]]""";RE
98;yahoo-46;yahoo;"[[\http://dbpedia.org/resource/Yahoo!\""]]""";IS
99;yahoo-47;la grange;"[[\http://dbpedia.org/resource/La_Grange_Texas\""]]""";IS
100;yahoo-47;la grange tx;"[[\http://dbpedia.org/resource/La_Grange_Texas\""]]""";SC
101;yahoo-47;la grange tx funeral homes;"[[\http://dbpedia.org/resource/La_Grange_Texas\""] [\""http://dbpedia.org/resource/Funeral_home\""]]""";SC
102;yahoo-48;amlodipine;"[[\http://dbpedia.org/resource/Amlodipine\""]]""";IS
103;yahoo-48;amlodipine besylate 5mg;"[[\http://dbpedia.org/resource/Amlodipine\""]]""";SC
104;yahoo-49;webmail;"[[\http://dbpedia.org/resource/Webmail\""]]""";IS
105;yahoo-51;best penpal sites;"[[\http://dbpedia.org/resource/Pen_pal\""] [\""http://dbpedia.org/resource/Website\""]]""";IS
106;yahoo-52;sheen offers role;"[[\http://dbpedia.org/resource/Charlie_Sheen\""] [\""http://dbpedia.org/resource/Character_(arts)\""]]""";IS
107;yahoo-53;facebook;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
108;yahoo-55;amazon black friday 2012;"[[\http://dbpedia.org/resource/Amazon.com\""] [\""http://dbpedia.org/resource/Black_Friday_(shopping)\""] [\""http://dbpedia.org/resource/2012\""]]""";IS
109;yahoo-59;craigslist n ms;"[[\http://dbpedia.org/resource/Craigslist\""] [\""http://dbpedia.org/resource/Mississippi\""]]""";IS
110;yahoo-60;google;"[[\http://dbpedia.org/resource/Google\""]]""";IS
111;yahoo-63;you;"[[\http://dbpedia.org/resource/You\""]]""";IS
112;yahoo-64;lolo jones world cup;"[[\http://dbpedia.org/resource/Lolo_Jones\""] [\""http://dbpedia.org/resource/IAAF_World_Indoor_Championships_in_Athletics\""]]""";IS
113;yahoo-66;sunbeam mixmaster;"[[\http://dbpedia.org/resource/Sunbeam_Products\""]]""";IS
114;yahoo-67;cyndi lauper lyrics;"[[\http://dbpedia.org/resource/Cyndi_Lauper\""] [\""http://dbpedia.org/resource/Lyrics\""]]""";IS
115;yahoo-67;cyndi lauper all through the night;"[[\http://dbpedia.org/resource/Cyndi_Lauper\""] [\""http://dbpedia.org/resource/All_Through_the_Night_(Cyndi_Lauper_song)\""]]""";WS
116;yahoo-67;macy cyber monday;"[[\http://dbpedia.org/resource/Macy's\""] [\""http://dbpedia.org/resource/Cyber_Monday\""]]""";NW
117;yahoo-67;she's always a woman lyrics;"[[\http://dbpedia.org/resource/She's_Always_a_Woman\""] [\""http://dbpedia.org/resource/Lyrics\""]]""";NW
118;yahoo-67;always something there to remind me lyrics;"[[\http://dbpedia.org/resource/(There's)_Always_Something_There_to_Remind_Me\""] [\""http://dbpedia.org/resource/Lyrics\""]""";WS
119;yahoo-68;facebook;"[[\http://dbpedia.org/resource/Facebook\""]]""";IS
120;yahoo-68;faqcebook login;"[[\http://dbpedia.org/resource/Facebook\""]]""";SC
121;yahoo-69;alumni;"[[\http://dbpedia.org/resource/Alumnus\""]]""";IS
122;yahoo-70;philadelphia eagles;"[[\http://dbpedia.org/resource/Philadelphia_Eagles\""]]""";IS
123;yahoo-70;cowboys fans petition obama;"[[\http://dbpedia.org/resource/Dallas_Cowboys\""] [\""http://dbpedia.org/resource/Fan_(person)\""] [\""http://dbpedia.org/resource/Petition\""] [\""http://dbpedia.org/resource/Barack_Obama\""]]""";RE
124;yahoo-71;mail;"[[\http://dbpedia.org/resource/Mail\""]]""";IS
125;yahoo-71;eithad;"[[\http://dbpedia.org/resource/Etihad_Airways\""]]""";NW
126;yahoo-72;msn;"[[\http://dbpedia.org/resource/MSN\""]]""";NW
127;yahoo-72;facebook;"[[\http://dbpedia.org/resource/Facebook]]""";IS
128;yahoo-72;3riversfcu credit union;"[[\http://dbpedia.org/resource/Credit_union\""]]""";NW
129;yahoo-73;www.capitalonebank.com;"[[\http://dbpedia.org/resource/Capital_One\""]]""";IS
130;yahoo-73;dolly parton shoots down nickname;"[[\http://dbpedia.org/resource/Dolly_Parton\""] [\""http://dbpedia.org/resource/Nickname\""]]""";NW
131;yahoo-73;Dolly Parton shoots down nickname;"[[\http://dbpedia.org/resource/Dolly_Parton\""] [\""http://dbpedia.org/resource/Nickname\""]]""";RP
132;yahoo-73;capital one;"[[\http://dbpedia.org/resource/Capital_One\""]]""";NW
133;yahoo-74;dick morris;"[[\http://dbpedia.org/resource/Dick_Morris\""]]""";IS
134;yahoo-74;breitbart;"[[\http://dbpedia.org/resource/Breitbart.com\""]]""";RE
135;yahoo-74;swv;"[[\http://dbpedia.org/resource/SWV\""]]""";NW
136;yahoo-74;home depot;"[[\http://dbpedia.org/resource/The_Home_Depot\""]]""";NW
137;yahoo-74;homemade halloween costumes;"[[\http://dbpedia.org/resource/Halloween\""] [\""http://dbpedia.org/resource/Costume\""]]""";NW
138;yahoo-74;homemade pizza recipes;"[[\http://dbpedia.org/resource/Pizza\""] [\""http://dbpedia.org/resource/Recipe\""]]""";WS
139;yahoo-74;homemade potato chips;"[[\http://dbpedia.org/resource/Potato_chip\""]]""";WS
140;yahoo-74;homemade pork sausage;"[[\http://dbpedia.org/resource/Sausage\""]]""";WS
141;yahoo-77;asthma;"[[\http://dbpedia.org/resource/Asthma\""]]""";IS
142;yahoo-78;genting awana hotel;"[[\http://dbpedia.org/resource/Genting_Highlands\""]]""";IS
143;yahoo-78;bus;"[[\http://dbpedia.org/resource/Bus\""]]""";NW
144;yahoo-78;pdf converter;"[[\http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""]]""";NW
145;yahoo-78;pdf converter online;"[[\http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Online_and_offline\""]]""";SC
146;yahoo-78;adobe pdf converter;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""]]""";WS
147;yahoo-78;adobe pdf converter printer;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Printer_(computing)\""]]""";SC
148;yahoo-78;adobe pdf converter downloads;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Download\""]]""";WS
149;yahoo-78;free adobe pdf converter;"[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""]]""";WS
150;yahoo-78;free adobe pdf converter downloads;"[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Download\""]]""";SC
151;yahoo-78;adobe pdf converter free download;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Download\""]]""";RP
152;yahoo-78;adobe pdf converter driver;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Device_driver\""]]""";WS
153;yahoo-78;adobe pdf converter to word;"[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Microsoft_Word\""]]""";WS
154;yahoo-78;google;"[[\http://dbpedia.org/resource/Google\""]]""";NW
155;yahoo-78;google maps;"[[\http://dbpedia.org/resource/Google_Maps\""]]""";SC
156;yahoo-78;google search;"[[\http://dbpedia.org/resource/Google_Search\""]]""";WS
157;yahoo-78;google map;"[[\http://dbpedia.org/resource/Google_Maps\""]]""";RS
158;yahoo-78;paradigm mall kelana jaya;"[[\http://dbpedia.org/resource/Kelana_Jaya\""]]""";NW
159;yahoo-78;paradigm mall facebook;"[[\http://dbpedia.org/resource/Facebook\""]]""";WS
160;yahoo-78;paradigm mall gsc;"[[\http://dbpedia.org/resource/Golden_Screen_Cinemas\""]]""";WS
161;yahoo-78;paradigm mall kuala lumpur;"[[\http://dbpedia.org/resource/Kuala_Lumpur\""]]""";WS
162;yahoo-78;paradigm mall malaysia;"[[\http://dbpedia.org/resource/Malaysia\""]]""";WS
163;yahoo-78;gsc;"[[\http://dbpedia.org/resource/Golden_Screen_Cinemas\""]]""";NW
164;yahoo-79;jay cutler injury;"[[\http://dbpedia.org/resource/Jay_Cutler_(American_football)\""] [\""http://dbpedia.org/resource/Injury\""]]""";IS
165;yahoo-79;led zeppelin;"[[\http://dbpedia.org/resource/Led_Zeppelin\""]]""";NW
166;yahoo-80;rover's big discovery;"[[\http://dbpedia.org/resource/Curiosity_(rover)\""] [\""http://dbpedia.org/resource/Discovery_(observation)\""]]""";IS
167;yahoo-81;mlive;"[[\http://dbpedia.org/resource/Booth_Newspapers\""]]""";IS
168;yahoo-83;switch back to classic mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";IS
169;yahoo-83;how to switch back to classic mail;"[[\http://dbpedia.org/resource/How-to\""] [\""http://dbpedia.org/resource/Yahoo!_Mail\""]]""";SC
170;yahoo-84;cartoon;"[[\http://dbpedia.org/resource/Cartoon\""]]""";IS
171;yahoo-84;deals and steals;"[[\http://dbpedia.org/resource/Steals_and_Deals\""]]""";NW
172;yahoo-84;tim tebow rb;"[[\http://dbpedia.org/resource/Tim_Tebow\""] [\""http://dbpedia.org/resource/Running_back\""]]""";NW
173;yahoo-84;yahoo! travel;"[[\http://dbpedia.org/resource/Yahoo!_Travel\""]]""";NW
174;yahoo-84;tim burton;"[[\http://dbpedia.org/resource/Tim_Burton\""]]""";NW
175;yahoo-84;tim burton characters;"[[\http://dbpedia.org/resource/Tim_Burton\""] [\""http://dbpedia.org/resource/Character_(arts)\""]]""";SC
176;yahoo-84;tim burton corpse bride;"[[\http://dbpedia.org/resource/Tim_Burton\""] [\""http://dbpedia.org/resource/Corpse_Bride\""]]""";WS
177;yahoo-84;tim burton movies;"[[\http://dbpedia.org/resource/Tim_Burton\""] [\""http://dbpedia.org/resource/Film\""]]""";WS
178;yahoo-85;earthquake hits japan;"[[\http://dbpedia.org/resource/Earthquake\""] [\""http://dbpedia.org/resource/Japan\""]]""";IS
179;yahoo-86;power bright inverters;"[[\http://dbpedia.org/resource/Power_inverter\""]]""";IS
180;yahoo-86;natural gas bbq conversion;"[[\http://dbpedia.org/resource/Natural_gas\"" [\""http://dbpedia.org/resource/Barbecue\""]]""";NW
181;yahoo-88;trendy short hairstyles 2012;"[[\http://dbpedia.org/resource/Fad\""] [\""http://dbpedia.org/resource/Hairstyle] [\""http://dbpedia.org/resource/2012\""]]""";IS
182;yahoo-88;trendy hairstyles 2012;"[[\http://dbpedia.org/resource/Fad\""] [\""http://dbpedia.org/resource/Hairstyle\""] [\""http://dbpedia.org/resource/2012\""]]""";GE
183;yahoo-89;google interpreter english to spanish;"[[\http://dbpedia.org/resource/Google_Translate\""] [\""http://dbpedia.org/resource/English_language\""] [\""http://dbpedia.org/resource/Spanish_language\]]""";IS
184;yahoo-89;google translation english to spanish;"[[\http://dbpedia.org/resource/Google_Translate]  [\""http://dbpedia.org/resource/English_language\] [\""http://dbpedia.org/resource/Spanish_language\""]]""";WS
185;yahoo-90;thepost;"[[\http://dbpedia.org/resource/Post-Tribune\""]]""";IS
186;yahoo-90;cvs;"[[\http://dbpedia.org/resource/CVS_Pharmacy\""]]""";NW
187;yahoo-91;craigslist;"[[\http://dbpedia.org/resource/Craigslist\""]]""";IS
188;yahoo-91;latest lakers rumors;"[[\http://dbpedia.org/resource/Los_Angeles_Lakers\""] [\""http://dbpedia.org/resource/Rumor\""]]""";NW
189;yahoo-91;cal lottery;"[[\http://dbpedia.org/resource/California_State_Lottery\""]]""";NW
190;yahoo-92;youtube;"[[\http://dbpedia.org/resource/YouTube\""]]""";IS
191;yahoo-93;$425 million jackpot;"[[\http://dbpedia.org/resource/Progressive_jackpot\""]]""";IS
192;yahoo-93;bangladesh;"[[\http://dbpedia.org/resource/Bangladesh\""]]""";NW
193;yahoo-93;yahoo! calendar;"[[\http://dbpedia.org/resource/Yahoo!_Calendar\""]]""";NW
194;yahoo-93;circuit city;"[[\http://dbpedia.org/resource/Circuit_City\""]]""";NW
195;yahoo-93;citibank;"[[\http://dbpedia.org/resource/Citibank\""]]""";NW
196;yahoo-93;citicards;"[[\http://dbpedia.org/resource/Citigroup\""]]""";RE
197;yahoo-93;citizens bank;"[[\http://dbpedia.org/resource/Citizens_Republic_Bancorp\""]]""";RE
198;yahoo-93;citi;"[[\http://dbpedia.org/resource/Citigroup\""]]""";RE
199;yahoo-93;citicards sign on;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Login\""]]""";RE
200;yahoo-93;citicards sign on page;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Login\""]]""";SC
201;yahoo-93;citicards credit cards;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Credit_card\""]]""";WS
202;yahoo-93;citicards click to pay;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Online_banking\""]]""";WS
203;yahoo-93;citicards online bill pay;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Online_banking\""]]""";WS
204;yahoo-93;citicards online login;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Online_banking\""] [\""http://dbpedia.org/resource/Login\""]]""";WS
205;yahoo-93;citicards thank you points;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Loyalty_program\""]]""";WS
206;yahoo-93;citicards thank you rewards;"[[\http://dbpedia.org/resource/Citigroup\""] [\""http://dbpedia.org/resource/Loyalty_program\""]]""";WS
207;yahoo-93;ap poll top 25;"[[\http://dbpedia.org/resource/AP_Poll\""]]""";NW
208;yahoo-93;china aircraft carrier;"[[\http://dbpedia.org/resource/Chinese_aircraft_carrier_programme\""]]""";NW
209;yahoo-93;yahoo! mail;"[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""";NW
210;yahoo-93;youtube;"[[\http://dbpedia.org/resource/YouTube\""]]""";NW
211;yahoo-93;youtube broadcast yourself;"[[\http://dbpedia.org/resource/YouTube\""] [\""http://dbpedia.org/resource/YouTube\""]]""";SC
212;yahoo-93;youtube downloader;"[[\http://dbpedia.org/resource/YouTube\""] [\""http://dbpedia.org/resource/Comparison_of_YouTube_downloaders\""]]""";WS
213;yahoo-93;youtube video;"[[\http://dbpedia.org/resource/YouTube\""] [\""http://dbpedia.org/resource/Video\""]]""";WS
214;yahoo-94;southeast sun;"[[\http://dbpedia.org/resource/Southeast_Sun_Online_Edition\""]]""";IS
